period,symbol,avg_neg,avg_neu,avg_pos,avg_compound,mention_count,market_avg_neg,market_avg_neu,market_avg_pos,market_avg_compound
2024-05-08,FTM,0.14250000000000002,0.6910000000000001,0.166,0.3611,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,GALA,0.0,1.0,0.0,0.0,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,GNO,0.095,0.768,0.137,0.9002,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,HBAR,0.022,0.749,0.22899999999999998,0.7853,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,HNT,0.08249999999999999,0.77,0.14750000000000002,0.24735,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,HYPE,0.037000000000000005,0.80775,0.155,0.25435,4,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,INJ,0.0185,0.7655000000000001,0.216,0.78885,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,KSM,0.0,0.911,0.089,0.7001999999999999,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,LINK,0.0428,0.7916,0.16599999999999998,0.41364,5,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,MANA,0.124,0.719,0.157,0.128,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,MATIC,0.06844444444444445,0.7452222222222222,0.18644444444444444,0.6794333333333333,9,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,MINA,0.079,0.717,0.204,0.3182,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,MKR,0.013666666666666667,0.8256666666666667,0.16066666666666665,0.5523666666666666,3,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,NEAR,0.08342857142857142,0.7747142857142857,0.1417142857142857,0.45135714285714285,7,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,QNT,0.021,0.9275,0.052,0.17,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,RUNE,0.013666666666666667,0.8433333333333333,0.143,0.5445666666666666,3,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,SHIB,0.029646153846153846,0.8243384615384616,0.1460153846153846,0.53702,65,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,SNX,0.0,0.85,0.15,0.5574,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,SOL,0.043076923076923075,0.7905128205128206,0.1664871794871795,0.47949487179487177,39,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,TRUMP,0.08175,0.75175,0.1665,0.389175,4,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,TRX,0.03225,0.821,0.147,0.35505,4,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,UNI,0.04133333333333333,0.7833333333333333,0.17533333333333334,0.39976666666666666,3,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,WBT,0.39066666666666666,0.519,0.09066666666666667,-0.7349333333333333,3,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,XLM,0.05700000000000001,0.817,0.126,0.22932000000000002,5,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,XMR,0.0,1.0,0.0,0.0,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,XRP,0.04455384615384615,0.825923076923077,0.12949230769230768,0.4034261538461538,65,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,XTZ,0.124,0.719,0.157,0.128,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-15,ADA,0.06741666666666667,0.7883333333333332,0.14425,0.4659,12,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,AR,0.06575,0.7545,0.17925,0.489425,4,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,ATOM,0.036750000000000005,0.7475,0.21550000000000002,0.8262,4,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,AVAX,0.104,0.615,0.28075,0.48665,4,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,AXS,0.211,0.693,0.096,-0.9893,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,BCH,0.037,0.875,0.088,0.3612,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,BNB,0.008333333333333333,0.7178333333333334,0.27399999999999997,0.7930333333333334,6,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,BTC,0.056228155339805824,0.8106601941747573,0.13311165048543688,0.37617718446601944,206,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,CAKE,0.061,0.697,0.242,0.8519,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,COMP,0.089,0.751,0.16,0.9928,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,DOGE,0.03259375,0.79034375,0.17696875,0.5860875,32,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,DOT,0.015,0.714,0.271,0.66065,2,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,ETH,0.04736283185840708,0.8143716814159292,0.13826548672566372,0.4851849557522124,113,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,FLOW,0.03475,0.8400000000000001,0.12525,0.930275,4,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,FTM,0.0,0.646,0.354,0.8074,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,GALA,0.0575,0.7535000000000001,0.1895,0.99455,2,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,GRT,0.03025,0.838,0.13175,0.85285,4,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,HBAR,0.0,0.851,0.149,0.8658,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,ICP,0.0,0.7879999999999999,0.212,0.8266333333333334,3,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,INJ,0.037,0.768,0.196,0.992,1,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,LINK,0.021500000000000002,0.8553333333333333,0.12316666666666666,0.47481666666666666,6,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
2024-05-15,MATIC,0.0,0.88,0.12000000000000001,0.5183,2,0.04531852986217458,0.8054517611026034,0.14920673813169985,0.49294961715160796
