date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score
2023-03-08,Custom_Risk_8_positive,4,BTC,0.5742922090535867,1.1437161787129155,INJ,0.23588177093796253,0.46976398675126146,ETH,0.18450166779276725,0.3674393264046765,BCH,0.005324352215683487,-0.010603570228261538
2023-03-15,Custom_Risk_8_positive,4,BTC,0.6805852435583105,1.2495621559816052,ETH,0.2345046283708705,0.4305531331868559,GNO,0.0436912324517715,0.08021759380866085,INJ,0.04121889561904745,0.0756783555982357
2023-03-22,Custom_Risk_8_positive,4,BTC,0.5566169839980504,1.2642245114254291,ETH,0.22047095130561464,0.5007478907593242,INJ,0.17833697623138056,0.4050504801808117,BNB,0.04457508846495451,0.10124182527019296
2023-03-29,Custom_Risk_8_positive,4,BTC,0.5695007621465846,1.3299802292785108,ETH,0.23980160065719747,0.5600192467193277,INJ,0.17796283730006532,0.41560445725000444,BNB,0.012734799896152473,0.02974013945453048
2023-04-05,Custom_Risk_8_positive,4,BTC,0.5085851864617493,1.2015979774352232,ETH,0.3094666984983279,0.7311549154354184,INJ,0.15349655496108253,0.362655371989257,BNB,0.028451560078840418,-0.06722047349324953
2023-04-12,Custom_Risk_8_positive,4,BTC,0.4059614523229986,0.9956979527267699,ETH,0.29327159461462954,0.7193045661841988,INJ,0.26507272532886755,0.6501414565924453,GNO,0.03569422773350444,-0.08754690691700437
2023-04-19,Custom_Risk_8_positive,4,BTC,0.4134556208965818,1.0263913592339042,INJ,0.3066371776410486,0.7612177308610536,ETH,0.2394157098876976,0.5943424238874959,ETC,0.04049149157467199,-0.1005189311119107
2023-04-26,Custom_Risk_8_positive,4,INJ,0.4022338388645868,1.041063584025476,BTC,0.3691529081638131,0.955443357802192,ETH,0.16143257787925308,0.4178205856072329,BNB,0.06718067509234707,-0.17387735101132346
2023-05-03,Custom_Risk_8_positive,4,BTC,0.4209893245671211,1.0129799812331224,INJ,0.38463538198441716,0.9255055159054247,ETH,0.18687858845630895,0.44966524797747504,BNB,0.0074967049921527635,-0.018038490857386093
2023-05-10,Custom_Risk_8_positive,4,BTC,0.47109071700719407,1.08363011261146,INJ,0.2830473973868131,0.6510819934071617,ETH,0.24312183705380977,0.5592429104496697,BNB,0.0027400485521831643,-0.0063028181493921635
